What is your current class year or status?,Are you an international student on an F1 Visa?,Did you participate in an internship May-August 2016?,Please tell us about your PRIMARY internship,Where was the internship:  State?,Where was the internship:  City? ,Choose one area which best describes the NATURE OF THE WORK YOU WERE DOING:,how many hours per week did you work?,Was the internship paid? 
Rising Junior,No,No,,,,,,
Rising Sophomore,Yes,Yes,Youcheng Foundation,Outside the U.S.,China,Community Organizations/Non-Profits,30+,Paid hourly wage
Rising Junior,No,No,,,,,,
Rising Senior,Yes,Yes,Waterford Kamhlaba UWCSA,Outside the U.S.,"Mbabane, Swaziland",Education,30+,Paid a stipend
Rising Junior,No,Yes,Temple University Infant and Child Development Lab,Pennsylvania,Ambler ,Scientific Research,15-29,Unpaid
Rising Junior,No,No,,,,,,
Rising Junior,No,Yes,NIDA,North Carolina,Chapel Hill,Scientific Research,30+,Paid a stipend
Rising Junior,No,Yes,Generation Teach,Colorado,Denver,Education,30+,Paid a stipend
Rising Sophomore,No,Yes,United States Patent and Trademark Office,Colorado,Denver,Engineering and Technology,30+,Unpaid
Rising Senior,No,Yes,Arkansas children's hospital,Arkansas,Little Rock,Healthcare,30+,Paid hourly wage
Rising Sophomore,No,Yes,Commonwealth Healthcare Corporation,Outside the U.S.,"Saipan, CNMI",Healthcare,15-29,Unpaid
Rising Senior,No,Yes,Colorado college,Colorado,,Scientific Research,30+,Paid a stipend
Rising Junior,No,Yes,Bosch,Pennsylvania,Pittsburgh,Engineering and Technology,30+,Paid hourly wage
Rising Sophomore,No,Yes,Alford Lake Camp,Maine,"Hope, ME",Education,30+,Paid a stipend
Rising Sophomore,No,Yes,CC Summer Research,Colorado,Colorado Springs,Scientific Research,30+,Paid a stipend
Rising Sophomore,No,No,,,,,,
Rising Senior,No,Yes,Colorado College,Colorado,Colorado Springs,Education,30+,Paid hourly wage
Rising Junior,No,No,,,,,,
Rising Junior,No,No,,,,,,
Rising Junior,No,Yes,REU,Alabama,Birmingham ,Engineering and Technology,30+,Paid a stipend
Rising Junior,No,Yes,Something New,Alabama,Selma ,Community Organizations/Non-Profits,30+,Unpaid
Rising Sophomore,Yes,Yes,Colorado college,Colorado,,Scientific Research,30+,Paid a stipend
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,Yes,Two Oceans Aquarium,Outside the U.S.,"Cape Town, SA",Other,30+,Unpaid
Rising Sophomore,No,Yes,House of Representatives,Washington D.C.,,"Public Policy, Government and Law",30+,Unpaid
Rising Junior,No,Yes,National Science Foundation Undergraduate Research Experience ,Texas,Austin,Scientific Research,30+,Paid a stipend
Rising Senior,No,Yes,California Pictures,Outside the U.S.,"Cannes, France","Arts, Media and Communications",15-29,Unpaid
Rising Junior,No,No,,,,,,
Rising Junior,No,Yes,Generation Teach,Colorado,Denver,Education,30+,Paid a stipend
Rising Sophomore,No,No,,,,,,
Rising Junior,No,No,,,,,,
Rising Sophomore,Yes,Yes,De la Piedra Consultores,Outside the U.S.,"Lima, Peru",Other,15-29,Paid a stipend
Rising Sophomore,No,No,,,,,,
Rising Junior,No,Yes,Trinity College Dublin,Outside the U.S.,"Dublin, Ireland",Scientific Research,30+,Unpaid
Rising Senior,No,Yes,GSD&M,Texas,Austin,"Arts, Media and Communications",30+,Paid hourly wage
Rising Senior,No,No,,,,,,
Rising Senior,No,Yes,ProgressNow Colorado,Colorado,Denver,"Arts, Media and Communications",30+,Paid a stipend
Rising Senior,No,Yes,Boettcher Foundation,Colorado,Denver,Community Organizations/Non-Profits,under 15,Unpaid
Rising Sophomore,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,Yes,Teen Travelers and Adventure Camp,Illinois,Chicago ,Sports and Outdoor Recreation,15-29,Paid hourly wage
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Sophomore,Yes,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Senior,No,Yes,LASP ,Colorado,Boulder,Scientific Research,30+,Paid a stipend
Rising Sophomore,No,No,,,,,,
,,,,,,,,
Rising Sophomore,No,Yes,The Morton Arboretum,Illinois,Chicago,Scientific Research,30+,Paid a stipend
Rising Sophomore,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Junior,No,No,,,,,,
Rising Senior,No,No,,,,,,
Rising Senior,Yes,Yes,Khulisa Social Solutions,Outside the U.S.,"Cape Town, South Africa",Community Organizations/Non-Profits,30+,Unpaid
Rising Senior,No,No,,,,,,
Rising Senior,No,Yes,Generation Teach,Colorado,,Education,30+,Paid a stipend
Rising Senior,No,No,,,,,,
Rising Sophomore,No,No,,,,,,
Rising Junior,No,No,,,,,,
Rising Senior,No,Yes,Bella Media,New Mexico,Santa Fe,"Arts, Media and Communications",15-29,Unpaid
Rising Junior,No,Yes,Represent Us,Massachusetts,Northampton,"Public Policy, Government and Law",30+,Paid a stipend
Rising Senior,No,No,,,,,,
